Carrier_ID,Lookup,Is_Active
001CSHxxxxx,CSH-Central States H & W IL,0
001FIRxxxxx,FIR-First Health,0
001FORTISxx,FORTIS-Fortis Insurance Co. WI,0
001GAxxxxxx,GA-General American Life GA,0
001GRPxxxxx,GRP-Group Resources GA,0
001GWLxxxxx,GWL-Great West Life Assur GA,0
001LOKxxxxx,Lockheed Medical Benefit OK,0
001PIOxxxxx,Pioneer Life Ins CO IL,0
001PPGxxxxx,Preferred Plan of GA IN,0
001PRUxxxxx,PRU-Prucare FL,0
001SBxxxxxx,SB-Bc/Bs Bellsouth Claims AL,0
001SMxxxxxx,SM-State Health Benefit GA,0
001UFCxxxxx,United Food/Comm Workers GA,0
001UNICARE2,UNICARE2-Unicare Major Account,0
001UPSxxxxx,UPS-Aetna US Healthcare NC,0
200210280930373330018DF3D,AULRMS,0
200210280930373730018DF65,Acacia Life Insurance CO NE,0
200210280930374330018DFA1,Academy Life Insurance,0
200210280930374430018DFAB,Access Administrators Inc TX,0
200210280930374530018DFB6,"Acmg, Inc",0
200210280930375330018E006,"Administration Services, Inc WA",0
200210280930376030018E04C,Administrative Service Consult OH,0
200210280930376130018E056,"Administrative Services, Inc FL",0
200210280930376340018E06A,Admiral Insurance CO NJ,0
200210280930376540018E07E,Advanced Benefit Administrator,0
200210280930376640018E088,AE Employers Reinsurance Corp KS,0
200210280930376740018E092,Aegis Security Insurance CO PA,0
200210280930376940018E0A6,Aegon,0
200210280930378740018E15A,Aetna / U.S. Healthcare TX,0
200210280930378940018E16E,Affordable Benefit Administrat CA,0
200210280930379240018E18C,"Agency Services, Inc TN",0
200210280930379540018E1AA,Agri Services Agency NY,0
200210280930380040018E1DC,"Aig Claim Services, Inc",0
200210280930380140018E1E6,"Aig Claim Services, Inc",0
200210280930380240018E1F0,"Aig Claim Services, Inc AZ",0
200210280930380540018E20E,"Aig Claim Services, Inc AR",0
200210280930380740018E222,"Aig Claim Services, Inc CA",0
200210280930380840018E22C,"Aig Claim Services, Inc",0
200210280930381140018E24A,"Aig Claim Services, Inc CA",0
200210280930381240018E254,"Aig Claim Services, Inc",0
200210280930381340018E25E,"Aig Claim Services, Inc AZ",0
200210280930381440018E269,"Aig Claim Services, Inc",0
200210280930381540018E273,"Aig Claim Services, Inc",0
200210280930381640018E27D,"Aig Claim Services, Inc",0
200210280930381740018E287,"Aig Claim Services, Inc",0
200210280930381940018E29B,"Aig Claim Services, Inc",0
200210280930382240018E2B9,"Aig Claim Services, Inc GA",0
200210280930382440018E2CD,"Aig Claim Services, Inc",0
200210280930382540018E2D7,"Aig Claim Services, Inc",0
200210280930382640018E2E1,"Aig Claim Services, Inc",0
200210280930382740018E2EB,"Aig Claim Services, Inc",0
200210280930382840018E2F5,"Aig Claim Services, Inc",0
200210280930382940018E2FF,"Aig Claim Services, Inc IL",0
200210280930383040018E309,"Aig Claim Services, Inc IA",0
200210280930383140018E313,"Aig Claim Services, Inc",0
200210280930383350018E327,"Aig Claim Services, Inc IA",0
200210280930383450018E331,"Aig Claim Services, Inc",0
200210280930383550018E33B,"Aig Claim Services, Inc",0
200210280930383650018E345,"Aig Claim Services, Inc",0
200210280930383750018E34F,"Aig Claim Services, Inc IA",0
200210280930383850018E359,"Aig Claim Services, Inc",0
200210280930384050018E36D,"Aig Claim Services, Inc",0
200210280930384150018E377,"Aig Claim Services, Inc",0
200210280930384250018E381,"Aig Claim Services, Inc",0
200210280930384350018E38B,"Aig Claim Services, Inc",0
200210280930384650018E3A9,"Aig Claim Services, Inc",0
200210280930384750018E3B3,"Aig Claim Services, Inc IA",0
200210280930384850018E3BD,"Aig Claim Services, Inc MI",0
200210280930384950018E3C7,"Aig Claim Services, Inc IA",0
200210280930385050018E3D1,"Aig Claim Services, Inc MI",0
200210280930385150018E3DB,"Aig Claim Services, Inc GA",0
200210280930385350018E3EF,"Aig Claim Services, Inc",0
200210280930385450018E3F9,"Aig Claim Services, Inc",0
200210280930385550018E403,"Aig Claim Services, Inc",0
200210280930385650018E40D,"Aig Claim Services, Inc",0
200210280930385750018E417,"Aig Claim Services, Inc IA",0
200210280930385850018E421,"Aig Claim Services, Inc",0
200210280930385950018E42B,"Aig Claim Services, Inc",0
200210280930386050018E435,"Aig Claim Services, Inc",0
200210280930386150018E43F,"Aig Claim Services, Inc",0
200210280930386250018E449,"Aig Claim Services, Inc PA",0
200210280930386450018E45D,"Aig Claim Services, Inc CA",0
200210280930386550018E467,"Aig Claim Services, Inc NM",0
200210280930386850018E485,"Aig Claim Services, Inc",0
200210280930387050018E499,"Aig Claim Services, Inc NY",0
200210280930387250018E4AD,"Aig Claim Services, Inc GA",0
200210280930387450018E4C1,"Aig Claim Services, Inc IA",0
200210280930387550018E4CB,"Aig Claim Services, Inc",0
200210280930387750018E4DF,"Aig Claim Services, Inc AR",0
200210280930387950018E4F3,"Aig Claim Services, Inc",0
200210280930388050018E4FD,"Aig Claim Services, Inc",0
200210280930388250018E511,"Aig Claim Services, Inc PA",0
200210280930388350018E51B,"Aig Claim Services, Inc",0
200210280930388450018E526,"Aig Claim Services, Inc",0
200210280930388650018E53A,"Aig Claim Services, Inc GA",0
200210280930388850018E54E,"Aig Claim Services, Inc IA",0
200210280930388950018E558,"Aig Claim Services, Inc MI",0
200210280930389050018E562,"Aig Claim Services, Inc GA",0
200210280930389150018E56C,"Aig Claim Services, Inc GA",0
200210280930389250018E576,"Aig Claim Services, Inc KS",0
200210280930389450018E58A,"Aig Claim Services, Inc TX",0
200210280930389550018E594,"Aig Claim Services, Inc",0
200210280930389650018E59E,"Aig Claim Services, Inc",0
200210280930389750018E5A8,"Aig Claim Services, Inc",0
200210280930389850018E5B2,"Aig Claim Services, Inc",0
200210280930390050018E5C6,"Aig Claim Services, Inc VA",0
200210280930390160018E5D0,"Aig Claim Services, Inc",0
200210280930390360018E5E4,"Aig Claim Services, Inc IA",0
200210280930390460018E5EE,"Aig Claim Services, Inc MI",0
200210280930390560018E5F8,"Aig Claim Services, Inc",0
200210280930390660018E602,Alaska Timber Insurance Exchan,0
200210280930390760018E60C,Alfa Insurance Corp AL,0
200210280930390860018E616,Allen Medical Claims Administr GA,0
200210280930391160018E634,Allianz Life Insurance CO of N,0
200210280930391360018E648,"Allied Administrators, Inc",0
200210280930391460018E652,"Allied Benefit Systems, Inc",0
200210280930391660018E666,Allied Benefits Administrators WV,0
200210280930391760018E670,Allied Group Insurance CO,0
200210280930391860018E67A,Allied Group Insurance CO,0
200210280930391960018E684,Allied Insurance CO,0
200210280930392060018E68E,Allied Insurance CO CA,0
200210280930392160018E698,Allied Insurance CO,0
200210280930392260018E6A2,Allied Insurance CO CA,0
200210280930392360018E6AC,Allied Insurance CO,0
200210280930392860018E6DE,Allstate Insurance CO,0
200210280930392960018E6E8,Allstate Insurance CO,0
200210280930393260018E706,Allstate Insurance CO UT,0
200210280930393360018E710,Allstate Insurance CO,0
200210280930393560018E724,Allstate Insurance CO,0
200210280930393860018E742,Alta Health KS,0
200210280930394060018E756,Alticor,0
200210280930394160018E760,Alticor MI,0
200210280930394260018E76A,Alticor,0
200210280930394360018E774,Alticor MI,0
200210280930394460018E77E,Alticor,0
200210280930394560018E788,Alticor MI,0
200210280930394660018E792,Alticor,0
200210280930394760018E79C,Alticor MI,0
200210280930394860018E7A6,Alticor,0
200210280930394960018E7B0,Alticor MI,0
200210280930395060018E7BA,Alticor,0
200210280930395160018E7C4,Alticor MI,0
200210280930395260018E7CE,Alticor,0
200210280930395360018E7D9,Altius UT,0
200210280930395860018E80B,America Life & Health,0
200210280930395960018E815,American Ambassador Casualty C,0
200210280930396160018E829,American Benefit Plan Administ,0
200210280930396260018E833,American Benefits Management OH,0
200210280930396560018E851,American Commerce Insurance CO,0
200210280930396860018E86F,American Empire Surplus Lines OH,0
200210280930397170018E88D,American Family Insurance CO,0
200210280930397570018E8B5,American Family Insurance CO,0
200210280930397770018E8C9,American Family Insurance,0
200210280930397870018E8D3,American Family Insurance IL,0
200210280930397970018E8DD,American Family Insurance IL,0
200210280930398070018E8E7,American Family Insurance,0
200210280930398270018E8FB,American Family Insurance,0
200210280930398370018E905,American Family Insurance WI,0
